a,5113320,1
a,2868166,2
a,1596667,3
a,7070329,4
a,2498485,5
a,6070406,6
a,1419413,7
a,2386795,8
a,2015383,9
a,4254155,10
a,5159758,11
a,4367811,12
a,6546140,13
a,4327795,14
a,1997027,15
a,6440219,16
a,2056548,17
a,5082486,18
a,1365678,19
a,6474531,20
a,3876422,21
a,1969606,22
a,5894570,23
a,6122526,24
a,2293390,25
a,6426205,26
a,3373832,27
a,1011042,28
a,1874360,29
a,4433631,30
a,4049073,31
a,55669,32
a,4040830,33
a,6296465,34
a,5667940,35
a,5810641,36
a,2272897,37
a,6099106,38
a,3468338,39
a,4291269,40
a,5532985,41
a,6348651,42
a,5089797,43
a,3476020,44
a,1439306,45
a,4278445,46
a,683158,47
a,2344421,48
a,2355996,49
a,3195432,50
a,5854453,51
a,6711585,52
a,142262,53
a,7457355,54
a,1538091,55
a,7401893,56
a,2459998,57
a,1713232,58
a,1437525,59
a,5114307,60
a,3073382,61
a,2166001,62
a,4246256,63
a,3429720,64
a,2879742,65
a,1084481,66
a,6447979,67
a,2695974,68
a,7280360,69
a,4942995,70
a,2367626,71
a,5368147,72
a,4461100,73
a,6388029,74
a,6327872,75
a,6597771,76
a,3833369,77
a,4557859,78
a,7035551,79
a,7490802,80
a,4508378,81
a,1438399,82
a,2338059,83
a,3158489,84
a,5035882,85
a,5738064,86
a,3198072,87
a,5724777,88
a,4941781,89
a,5825915,90
a,2675045,91
a,2880882,92
a,3181405,93
a,983447,94
a,6382373,95
a,1911336,96
a,1646705,97
a,4906416,98
a,3641565,99
