87,1,232543,42556,DONE
31,1,5431673,42731,COMPLETED
77,0,652835,42658,DONE
48,0,4450832,42739,COMPLETED
15,1,7432474,42713,COMPLETED
27,1,5529959,42715,COMPLETED
77,0,9544885,42715,COMPLETED
11,1,2989221,42788,COMPLETED
11,1,7379027,42768,COMPLETED
84,0,6775473,42589,COMPLETED
34,1,5024153,42701,COMPLETED
71,1,3849289,42610,DONE
50,1,611341,42461,COMPLETED
32,1,5049233,42568,COMPLETED
34,1,8603418,42444,COMPLETED
59,0,5477106,42577,DONE
95,1,6055934,42804,DONE
26,0,511455,42556,COMPLETED
72,1,1989236,42639,COMPLETED
77,1,2309095,42751,COMPLETED
2,1,565803,42814,COMPLETED
24,1,3137839,42507,DONE
14,0,2736302,42457,COMPLETED
20,0,5120934,42524,DONE
51,1,1773224,42754,DONE
48,0,8883535,42523,DONE
9,0,1825850,42506,DONE
32,0,4011527,42756,COMPLETED
81,1,7643200,42468,COMPLETED
2,1,5178276,42647,DONE
30,1,2256830,42395,DONE
80,0,103679,42664,DONE
50,1,9986048,42787,DONE
83,0,4616263,42574,COMPLETED
55,0,3899676,42529,DONE
55,1,3457640,42658,COMPLETED
79,0,4923391,42572,DONE
34,1,3188399,42607,DONE
61,1,9231582,42679,DONE
20,0,5163509,42518,DONE
43,1,4987893,42559,DONE
61,0,2408266,42618,COMPLETED
9,1,8478772,42824,DONE
90,1,9970077,42713,DONE
52,0,6270126,42640,DONE
98,1,8353004,42612,DONE
75,1,6477167,42690,COMPLETED
45,0,8472897,42653,DONE
24,0,5268757,42588,DONE
14,1,5806533,42636,COMPLETED
50,1,4409398,42745,DONE
36,1,7471185,42540,DONE
15,0,5529329,42383,COMPLETED
15,1,8891846,42622,DONE
10,0,781197,42622,COMPLETED
16,0,5296362,42393,DONE
90,1,6365328,42610,COMPLETED
45,0,902082,42762,COMPLETED
44,0,2436336,42772,DONE
6,0,1102741,42456,COMPLETED
80,0,1008104,42796,DONE
83,1,8277402,42817,DONE
14,1,9525414,42743,COMPLETED
21,1,3069019,42378,DONE
70,1,2854814,42581,DONE
1,0,5028192,42499,COMPLETED
53,1,9690940,42522,DONE
31,1,4135286,42555,COMPLETED
90,1,1160887,42489,COMPLETED
19,1,3350434,42610,COMPLETED
71,1,7996906,42738,DONE
58,0,3870531,42400,COMPLETED
54,0,4948139,42711,DONE
95,1,4548512,42382,DONE
2,0,7292167,42656,COMPLETED
1,0,2814401,42800,COMPLETED
96,1,6899088,42778,COMPLETED
2,1,4625981,42807,DONE
64,0,851728,42448,DONE
61,1,6048615,42614,DONE
12,0,8064369,42539,COMPLETED
4,1,2940391,42797,COMPLETED
45,1,605821,42721,COMPLETED
71,0,9709169,42816,COMPLETED
23,1,4823954,42500,COMPLETED
18,1,2016816,42647,DONE
5,1,8313461,42712,DONE
45,1,7765779,42694,COMPLETED
92,1,5657631,42379,COMPLETED
68,0,2389625,42501,COMPLETED
33,1,1668127,42435,COMPLETED
88,1,1007149,42730,COMPLETED
98,0,1782917,42587,COMPLETED
91,1,2588590,42750,DONE
12,1,3904523,42604,COMPLETED
59,0,4169773,42456,COMPLETED
79,1,2522949,42576,DONE
93,1,3530458,42822,COMPLETED
42,1,3604210,42637,COMPLETED
99,1,5149634,42532,DONE
93,1,3546980,42475,COMPLETED
22,0,1424298,42380,COMPLETED
62,0,1068669,42741,COMPLETED
79,1,5271865,42510,COMPLETED
55,0,837183,42551,DONE
96,1,1748657,42823,COMPLETED
70,0,6719562,42704,COMPLETED
96,0,8689778,42484,DONE
37,0,7007515,42390,COMPLETED
16,0,5966425,42510,COMPLETED
24,0,1002786,42621,DONE
62,1,4817768,42798,DONE
75,0,8564766,42559,DONE
44,1,6960847,42612,DONE
9,1,745598,42810,DONE
53,0,7156459,42673,DONE
99,0,4932342,42508,DONE
12,1,5098670,42700,COMPLETED
55,1,6433628,42763,COMPLETED
53,1,9188224,42675,DONE
92,0,4286327,42699,DONE
56,1,2258395,42817,DONE
83,1,9848341,42738,DONE
42,0,7590189,42485,DONE
30,0,2528053,42441,DONE
56,1,6387712,42738,COMPLETED
17,0,6457594,42672,COMPLETED
96,1,3164291,42802,DONE
92,1,1496663,42497,COMPLETED
69,0,5016148,42692,DONE
56,0,9777885,42537,COMPLETED
93,0,33223,42732,DONE
23,1,1669166,42431,COMPLETED
13,1,9590960,42764,DONE
37,1,7683222,42681,COMPLETED
28,0,4883190,42522,COMPLETED
20,1,1866877,42538,DONE
3,1,8390161,42667,DONE
86,0,6058790,42646,COMPLETED
31,0,3983934,42540,COMPLETED
58,1,7451521,42796,COMPLETED
37,1,9426142,42742,DONE
44,0,1745058,42495,DONE
49,1,8293544,42748,COMPLETED
56,1,1930032,42653,COMPLETED
25,0,4967855,42580,COMPLETED
46,1,1659861,42823,DONE
25,0,1733969,42531,COMPLETED
72,1,740226,42485,DONE
61,0,358183,42417,DONE
27,1,4897566,42701,COMPLETED
57,0,3367599,42671,COMPLETED
65,1,5996610,42400,COMPLETED
97,1,1196826,42445,DONE
40,1,7908261,42766,DONE
28,1,6258640,42731,DONE
41,1,1647351,42653,DONE
87,0,164701,42436,DONE
29,1,6029009,42512,DONE
100,1,3897463,42609,COMPLETED
45,1,5491945,42417,COMPLETED
59,0,7863708,42385,COMPLETED
41,0,5589701,42769,COMPLETED
49,0,5286375,42546,DONE
97,0,6788144,42651,DONE
4,1,2955610,42446,DONE
52,1,1181309,42451,DONE
74,0,1674165,42427,COMPLETED
38,1,4374876,42619,DONE
63,0,3354428,42620,DONE
52,0,3786582,42633,COMPLETED
70,0,2743506,42653,COMPLETED
23,0,1001310,42485,DONE
97,1,2763645,42682,COMPLETED
79,0,5674533,42397,COMPLETED
52,0,4341686,42513,COMPLETED
74,1,4136848,42743,COMPLETED
94,1,4241003,42510,DONE
90,1,9079998,42666,COMPLETED
21,0,3438690,42534,COMPLETED
51,1,748103,42699,DONE
79,1,1815406,42479,COMPLETED
80,1,884088,42806,DONE
79,1,1254450,42782,DONE
12,1,6173138,42753,DONE
92,1,4868367,42579,DONE
99,0,4318102,42760,COMPLETED
80,1,1060540,42733,DONE
44,1,8164809,42728,DONE
54,1,4835474,42421,COMPLETED
69,1,6413530,42492,DONE
95,0,7523598,42818,COMPLETED
80,1,4823493,42484,DONE
26,1,9688830,42588,DONE
29,1,7812138,42704,COMPLETED
41,1,1238916,42540,COMPLETED
79,0,5984872,42436,DONE
15,0,764890,42378,COMPLETED
94,0,999946,42370,COMPLETED
25,1,3361245,42812,COMPLETED
81,0,6363354,42735,DONE
70,1,9097162,42765,COMPLETED
44,1,9169414,42606,COMPLETED
78,1,887897,42412,COMPLETED
99,1,5465708,42736,COMPLETED
21,1,3864248,42376,COMPLETED
6,1,9621316,42573,COMPLETED
59,0,8874401,42415,DONE
58,1,156872,42405,DONE
20,1,2122338,42489,DONE
79,1,3456208,42504,COMPLETED
42,1,4268758,42422,COMPLETED
37,0,1126802,42554,DONE
84,1,130538,42609,COMPLETED
47,0,6861689,42520,DONE
66,0,6496955,42478,COMPLETED
81,0,7821996,42701,COMPLETED
55,1,4375134,42595,COMPLETED
59,1,9695585,42621,COMPLETED
9,0,9721082,42715,DONE
28,1,1095549,42800,COMPLETED
42,1,4887675,42780,COMPLETED
45,1,762901,42715,DONE
35,0,1057814,42390,COMPLETED
8,0,9687854,42703,DONE
69,1,1642133,42371,COMPLETED
98,1,3676590,42665,COMPLETED
4,1,1955568,42650,COMPLETED
75,0,4422905,42545,COMPLETED
71,1,2911395,42799,COMPLETED
56,1,8654819,42712,DONE
4,1,6228026,42535,DONE
23,0,627185,42755,COMPLETED
81,1,9149118,42595,COMPLETED
73,1,124656,42646,COMPLETED
1,1,3534624,42728,COMPLETED
84,0,8821294,42370,DONE
52,1,239237,42703,COMPLETED
13,1,7510141,42522,DONE
99,0,8987734,42407,DONE
70,0,2943717,42381,DONE
46,1,5770405,42652,DONE
60,1,1586155,42541,DONE
23,0,4122824,42541,COMPLETED
74,0,743970,42823,COMPLETED
56,0,3051568,42725,COMPLETED
48,1,7699698,42497,COMPLETED
35,0,8318160,42450,COMPLETED
20,1,2262828,42499,COMPLETED
87,0,4435579,42518,DONE
22,1,1925269,42461,COMPLETED
50,0,7894549,42458,COMPLETED
63,1,8568802,42764,DONE
49,0,4565130,42678,COMPLETED
50,0,6334400,42727,DONE
20,0,2374536,42650,DONE
92,0,9390687,42702,COMPLETED
19,0,5758668,42606,DONE
